Unnamed: 0,出口总额：百万美元：月度：中国
区域,中国
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,419360727
SR码,SR197160647
贸易代码,
助记符,
函数说明,
首次观测日期,01/1992
最后观测日期,12/2023
最后更新时间,18/01/2024
数列备注,"The General Administration of Customs provides monthly Total Exports, FOB, in USD."
建议,
平均,112451.94141722652
方差,8805250777.910873
标准差,93836.29776323697
偏度,0.4730574205666998
峰度,-1.0042223850323513
变异系数,0.8344568940351098
最小,3357
最大,339662.266173
中位数,95632.5
总和 SUM,43181545.504215
减 SUBTRACT,-336305.266173
参照期间,384
01/1992,3991
02/1992,4970
03/1992,6000
04/1992,6349
05/1992,6601
06/1992,7658
07/1992,7159
08/1992,7650
09/1992,7064
10/1992,7654
11/1992,8526
12/1992,11318
01/1993,3357
02/1993,5823
03/1993,6907
04/1993,6895
05/1993,7213
06/1993,6950
07/1993,7625
08/1993,7636
09/1993,8832
10/1993,8046
11/1993,8944
12/1993,13515
01/1994,4881
02/1994,5733
03/1994,8488
04/1994,8935
05/1994,9450
06/1994,10900
07/1994,10346
08/1994,10210
09/1994,10456
10/1994,10430
11/1994,12669
12/1994,18508
01/1995,9179
02/1995,8885
03/1995,12880
04/1995,11991
05/1995,12817
06/1995,14034
07/1995,12268
08/1995,12528
09/1995,12419
10/1995,12343
11/1995,12179
12/1995,17256
01/1996,9169
02/1996,8666
03/1996,10407
04/1996,11387
05/1996,12155
06/1996,12245
07/1996,12389
08/1996,14111
09/1996,13394
10/1996,15199
11/1996,13592
12/1996,18333
01/1997,11649
02/1997,9809
03/1997,14076
04/1997,14775
05/1997,15164
06/1997,15359
07/1997,15600
08/1997,16023
09/1997,16592
10/1997,17810
11/1997,16746
12/1997,19188
01/1998,12778
02/1998,12250
03/1998,15428
04/1998,15968
05/1998,14899
06/1998,15564
07/1998,16134
08/1998,15564
09/1998,15451
10/1998,14728
11/1998,15122
12/1998,19825
01/1999,11368
02/1999,10986
03/1999,14813
04/1999,14782
05/1999,15516
06/1999,15309
07/1999,17314
08/1999,18316
09/1999,18573
10/1999,18227
11/1999,19471
12/1999,20255
01/2000,16780
02/2000,14779
03/2000,20135
04/2000,20511
05/2000,20112
06/2000,22205
07/2000,21478
08/2000,23324
09/2000,22977
10/2000,22771
11/2000,22146
12/2000,21984
01/2001,16801
02/2001,18982
03/2001,23025
04/2001,22797
05/2001,20821
06/2001,22078
07/2001,22810
08/2001,23532
09/2001,23981
10/2001,22780
11/2001,23996
12/2001,24496
01/2002,21693
02/2002,19136
03/2002,23833
04/2002,26728
05/2002,24640
06/2002,25997
07/2002,29189
08/2002,29413
09/2002,31935
10/2002,29936
11/2002,31205
12/2002,31890
01/2003,29754
02/2003,24450
03/2003,32083
04/2003,35589
05/2003,33786
06/2003,34463
07/2003,38088
08/2003,37395
09/2003,41921
10/2003,40893
11/2003,41749
12/2003,48058
01/2004,35710
02/2004,34048
03/2004,45845
04/2004,47109
05/2004,44844
06/2004,50518
07/2004,50953
08/2004,51345
09/2004,55754
10/2004,52510
11/2004,60900
12/2004,63790
01/2005,50727
02/2005,44276
03/2005,60845
04/2005,62084
05/2005,58422
06/2005,65930
07/2005,65532
08/2005,68372
09/2005,70148
10/2005,68025
11/2005,72195
12/2005,75397
01/2006,65126
02/2006,54106
03/2006,78019
04/2006,76828
05/2006,73072
06/2006,81281
07/2006,80297
08/2006,90726
09/2006,91576
10/2006,88097
11/2006,95807
12/2006,94000
01/2007,86594
02/2007,82149
03/2007,83576
04/2007,97494
05/2007,94074
06/2007,103394
07/2007,107830
08/2007,111424
09/2007,112351
10/2007,107745
11/2007,117592
12/2007,114412
01/2008,109756
02/2008,87361
03/2008,108998
04/2008,119005
05/2008,120699
06/2008,121320
07/2008,136837
08/2008,135387
09/2008,136759
10/2008,128532
11/2008,114985
12/2008,111055
01/2009,90485
02/2009,64866
03/2009,90219
04/2009,91923
05/2009,88699
06/2009,95458
07/2009,105391
08/2009,103663
09/2009,115865
10/2009,110642
11/2009,113659
12/2009,130740
01/2010,109490
02/2010,94463
03/2010,112059
04/2010,119851
05/2010,131661
06/2010,137339
07/2010,145434
08/2010,139236
09/2010,144923
10/2010,135917
11/2010,153279
12/2010,154101
01/2011,150697
02/2011,96681
03/2011,152134
04/2011,155592
05/2011,157051
06/2011,161895
07/2011,175151
08/2011,173239
09/2011,169580
10/2011,157352
11/2011,174386
12/2011,174623
01/2012,149861
02/2012,114409
03/2012,165577
04/2012,163129
05/2012,181034
06/2012,179831
07/2012,176918
08/2012,177870
09/2012,186116
10/2012,175516
11/2012,179341
12/2012,199112
01/2013,187287.692325
02/2013,139304.15085
03/2013,182101.791541
04/2013,186930.905182
05/2013,182679.518593
06/2013,174235.030598
07/2013,185915.008193
08/2013,190492.544673
09/2013,185313.292343
10/2013,185293.758314
11/2013,202082.966799
12/2013,207367.339394
01/2014,207036.945706
02/2014,114052.47708
03/2014,170001.624933
04/2014,188449.581169
05/2014,195596.391322
06/2014,186756.479308
07/2014,212744.123506
08/2014,208329.554033
09/2014,213561.657335
10/2014,206771.186062
11/2014,211563.050032
12/2014,227429.625834
01/2015,199876.251468
02/2015,168946.683718
03/2015,144234.930544
04/2015,175902.340856
05/2015,188800.118125
06/2015,189544.674638
07/2015,193161.132466
08/2015,196161.405324
09/2015,204922.588004
10/2015,192189.023026
11/2015,196592.966171
12/2015,223136.109852
01/2016,169398.917901
02/2016,121707.158577
03/2016,155098.178215
04/2016,166688.631697
05/2016,175710.064909
06/2016,176604.575996
07/2016,180659.215382
08/2016,188830.688437
09/2016,183439.990079
10/2016,176836.414355
11/2016,193560.726563
12/2016,209096.630682
01/2017,180273.315341
02/2017,118847.637378
03/2017,179247.867518
04/2017,177763.392504
05/2017,189088.364555
06/2017,194754.558958
07/2017,192119.127804
08/2017,198042.702181
09/2017,197943.516418
10/2017,187903.059471
11/2017,215838.590872
12/2017,231522.791081
01/2018,199469.129929
02/2018,170548.504352
03/2018,173900.288781
04/2018,198936.286966
05/2018,211591.897826
06/2018,215596.364094
07/2018,214402.541259
08/2018,216949.116349
09/2018,225397.69572
10/2018,214759.383426
11/2018,224294.203876
12/2018,220850.296842
01/2019,218008.133531
02/2019,135330.17003
03/2019,198234.43559
04/2019,193606.31573
05/2019,213917.758058
06/2019,212465.709908
07/2019,221772.397536
08/2019,214873.286812
09/2019,218214.87434
10/2019,212978.599493
11/2019,221442.324956
12/2019,238638.083204
01/2020,211587.567572
02/2020,80379.28379
03/2020,184571.998565
04/2020,199483.191937
05/2020,206428.326679
06/2020,212846.693227
07/2020,236839.118587
08/2020,234372.876624
09/2020,238612.878756
10/2020,236229.943912
11/2020,266912.158056
12/2020,281687.569874
01/2021,263382.206299
02/2021,204385.038851
03/2021,240543.051513
04/2021,263091.278364
05/2021,263229.261649
06/2021,280304.246874
07/2021,281278.374566
08/2021,293171.355052
09/2021,304698.741987
10/2021,299119.981769
11/2021,324277.287765
12/2021,339662.266173
01/2022,323277.032286
02/2022,214796.000556
03/2022,272869.482484
04/2022,268965.29651
05/2022,303898.564265
06/2022,323406.642354
07/2022,327463.192059
08/2022,310386.496811
09/2022,318242.611147
10/2022,293613.877271
11/2022,290615.312383
12/2022,296899.982886
01/2023,284418.984106
02/2023,208681.634144
03/2023,302495.893937
04/2023,288155.081992
05/2023,280954.33508
06/2023,283450.849312
07/2023,280831.438199
08/2023,283881.596918
09/2023,296515.600217
10/2023,274272.948064
11/2023,292747.77253
12/2023,303618.345464
